S.No,driver_name,season,series,total_points,wins,podiums,final_rank,age,f1_progression,f1_entry_year,pole_position,total_races,dnfs,points_per_race,win_rate,podium_rate,dnf_rate,season_weight
360,A. Dunne,2024,F3,50,0,2,14,19,0,NaN,0,20,2,2.5,0,0.1,0.1,4.48168907
361,M. Boya,2024,F3,45,1,1,15,20,0,NaN,0,20,3,2.25,0.05,0.05,0.15,4.48168907
362,S. Ramos,2024,F3,44,0,1,16,20,0,NaN,1,20,2,2.2,0,0.05,0.1,4.48168907
363,S. Montoya,2024,F3,40,0,1,17,19,0,NaN,0,20,3,2,0,0.05,0.15,4.48168907
364,M. Stenshorne,2024,F3,38,1,2,18,18,0,NaN,0,18,1,2.111,0.056,0.111,0.056,4.48168907
365,N. Bedrin,2024,F3,25,1,1,19,18,0,NaN,0,20,2,1.25,0.05,0.05,0.1,4.48168907
366,T. Smith,2024,F3,12,0,1,20,22,0,NaN,0,20,4,0.6,0,0.05,0.2,4.48168907
367,M. Esterson,2024,F3,11,0,0,21,22,0,NaN,0,20,3,0.55,0,0,0.15,4.48168907
368,C. Wurz,2024,F3,10,0,0,22,19,0,NaN,0,20,4,0.5,0,0,0.2,4.48168907
369,P. Wisnicki,2024,F3,10,0,1,23,21,0,NaN,0,18,3,0.556,0,0.056,0.167,4.48168907
370,T. Inthraphuvasak,2024,F3,9,0,0,24,19,0,NaN,0,20,1,0.45,0,0,0.05,4.48168907
371,J. Loake,2024,F3,8,0,0,25,19,0,NaN,0,20,2,0.4,0,0,0.1,4.48168907
372,M. Zagazeta,2024,F3,8,0,0,26,21,0,NaN,0,20,3,0.4,0,0,0.15,4.48168907
373,K. Sztuka,2024,F3,6,0,0,27,18,0,NaN,0,20,2,0.3,0,0,0.1,4.48168907
374,J. Dufek,2024,F3,1,0,0,28,20,0,NaN,0,20,2,0.05,0,0,0.1,4.48168907
375,S. Floersch,2024,F3,0,0,0,29,24,0,NaN,0,20,1,0,0,0,0.05,4.48168907
376,C. Shields,2024,F3,0,0,0,30,19,0,NaN,0,20,3,0,0,0,0.15,4.48168907
377,T. Taponen,2024,F3,0,0,0,31,18,0,NaN,0,2,1,0,0,0,0.5,4.48168907
378,N. Strømsted,2024,F3,0,0,0,32,17,0,NaN,0,2,0,0,0,0,0,4.48168907
379,J. Wharton,2024,F3,0,0,0,33,18,0,NaN,0,2,0,0,0,0,0,4.48168907
380,J. Hedley,2024,F3,0,0,0,34,21,0,NaN,0,2,0,0,0,0,0,4.48168907
381,L. Fornaroli,2025,F2,211,4,9,1,21,0,NaN,1,27,3,7.815,0.148,0.333,0.111,6.049647464
382,J. Crawford,2025,F2,175,4,7,2,20,0,NaN,1,27,1,6.481,0.148,0.259,0.037,6.049647464
383,R. Verschoor,2025,F2,170,2,5,3,25,0,NaN,1,27,2,6.296,0.074,0.185,0.074,6.049647464
384,L. Browning,2025,F2,162,1,4,4,23,0,NaN,0,27,1,6,0.037,0.148,0.037,6.049647464
385,A. Dunne,2025,F2,150,1,6,5,20,0,NaN,0,27,2,5.556,0.037,0.222,0.074,6.049647464
386,A. Lindblad,2025,F2,134,2,3,6,18,0,NaN,0,27,3,4.963,0.074,0.111,0.111,6.049647464
387,D. Beganovic,2025,F2,116,1,4,7,21,0,NaN,0,27,1,4.296,0.037,0.148,0.037,6.049647464
388,P. Martí,2025,F2,112,0,1,8,20,0,NaN,0,27,2,4.148,0,0.037,0.074,6.049647464
389,N. Tsolov,2025,F2,107,2,3,9,19,0,NaN,1,27,4,3.963,0.074,0.111,0.148,6.049647464
390,L. Van. Hoepen,2025,F2,105,1,4,10,20,0,NaN,1,27,3,3.889,0.037,0.148,0.111,6.049647464
391,Z. Maloney,2025,F2,97,1,3,11,22,0,NaN,1,27,2,3.593,0.037,0.111,0.074,6.049647464
392,C. Mansell,2025,F2,91,1,2,12,20,0,NaN,2,27,5,3.37,0.037,0.074,0.185,6.049647464
393,O. Goethe,2025,F2,72,1,3,13,21,0,NaN,0,27,4,2.667,0.037,0.111,0.148,6.049647464
394,G. Minì,2025,F2,43,0,2,14,20,0,NaN,0,27,3,1.593,0,0.074,0.111,6.049647464
395,M. Boya,2025,F2,37,2,2,15,21,0,NaN,0,27,6,1.37,0.074,0.074,0.222,6.049647464
396,N. León,2025,F2,32,1,2,16,30,0,NaN,0,27,4,1.185,0.037,0.074,0.148,6.049647464
397,S. Meguetounif,2025,F2,30,0,1,17,21,0,NaN,0,27,5,1.111,0,0.037,0.185,6.049647464
398,J. Dürksen,2025,F2,12,0,1,18,22,0,NaN,0,27,4,0.444,0,0.037,0.148,6.049647464
399,T. Tramnitz,2025,F2,3,1,2,19,21,0,NaN,0,14,1,0.214,0.071,0.143,0.071,6.049647464
400,K. Maini,2025,F2,2,0,0,20,25,0,NaN,0,27,4,0.074,0,0,0.148,6.049647464
401,S. Ramos,2025,F2,2,0,0,21,21,0,NaN,0,12,2,0.167,0,0,0.167,6.049647464
402,M. Stenshorne,2025,F2,1,0,1,22,19,0,NaN,0,14,3,0.071,0,0.071,0.214,6.049647464
403,R. Câmara,2025,F2,0,0,0,23,20,0,NaN,0,4,0,0,0,0,0,6.049647464
404,C. Wurz,2025,F2,0,0,0,24,20,0,NaN,0,8,1,0,0,0,0.125,6.049647464
405,C. Shields,2025,F2,0,0,0,25,20,0,NaN,0,27,7,0,0,0,0.259,6.049647464
406,T. Inthraphuvasak,2025,F2,0,0,0,26,20,0,NaN,0,27,8,0,0,0,0.296,6.049647464
407,J. Wharton,2025,F2,0,0,0,27,19,0,NaN,0,6,1,0,0,0,0.167,6.049647464
408,U. Ugochukwu,2025,F2,0,0,0,28,18,0,NaN,0,4,0,0,0,0,0,6.049647464
409,T. Naël,2025,F2,0,0,0,29,18,0,NaN,0,27,6,0,0,0,0.222,6.049647464
410,P. Aron,2025,F2,0,0,0,30,21,0,NaN,0,4,1,0,0,0,0.25,6.049647464
411,R. Bilinski,2025,F2,0,0,0,31,21,0,NaN,0,4,0,0,0,0,0,6.049647464
412,T. Taponen,2025,F2,0,0,0,32,19,0,NaN,0,2,0,0,0,0,0,6.049647464
413,A. Giusti,2025,F2,0,0,0,33,19,0,NaN,0,2,0,0,0,0,0,6.049647464
414,M. Esterson,2025,F2,0,0,0,34,23,0,NaN,0,4,1,0,0,0,0.25,6.049647464
415,J. Dufek,2025,F2,0,0,0,35,21,0,NaN,0,2,0,0,0,0,0,6.049647464
416,C. Voisin,2025,F2,0,0,0,36,19,0,NaN,0,2,1,0,0,0,0.5,6.049647464
417,R. Câmara,2025,F3,166,4,5,1,20,0,NaN,5,20,3,8.3,0.2,0.25,0.15,6.049647464
418,N. Tsolov,2025,F3,124,2,6,2,19,0,NaN,1,20,1,6.2,0.1,0.3,0.05,6.049647464
419,M. Boya,2025,F3,116,1,5,3,21,0,NaN,0,20,3,5.8,0.05,0.25,0.15,6.049647464
420,T. Tramnitz,2025,F3,94,1,3,4,21,0,NaN,0,20,1,4.7,0.05,0.15,0.05,6.049647464
421,M. Stenshorne,2025,F3,89,2,5,5,19,0,NaN,0,20,2,4.45,0.1,0.25,0.1,6.049647464
422,N. Strømsted,2025,F3,84,1,3,6,18,0,NaN,0,20,3,4.2,0.05,0.15,0.15,6.049647464
423,T. Inthraphuvasak,2025,F3,74,3,3,7,20,0,NaN,0,20,0,3.7,0.15,0.15,0,6.049647464
424,T. Naël,2025,F3,72,0,3,8,18,0,NaN,0,20,3,3.6,0,0.15,0.15,6.049647464
425,T. Taponen,2025,F3,67,0,4,9,19,0,NaN,0,20,2,3.35,0,0.2,0.1,6.049647464
426,A. Giusti,2025,F3,67,0,2,10,19,0,NaN,0,20,2,3.35,0,0.1,0.1,6.049647464
427,R. Bilinski,2025,F3,65,1,3,11,21,0,NaN,0,20,1,3.25,0.05,0.15,0.05,6.049647464
428,L. Van Hoepen,2025,F3,60,0,2,12,20,0,NaN,0,20,2,3,0,0.1,0.1,6.049647464
429,C. Wurz,2025,F3,53,0,2,13,20,0,NaN,0,20,2,2.65,0,0.1,0.1,6.049647464
430,C. Voisin,2025,F3,52,0,2,14,19,0,NaN,0,20,2,2.6,0,0.1,0.1,6.049647464
431,S. Ramos,2025,F3,48,2,2,15,21,0,NaN,0,18,2,2.667,0.111,0.111,0.111,6.049647464
432,U. Ugochukwu,2025,F3,43,0,2,16,18,0,NaN,0,20,3,2.15,0,0.1,0.15,6.049647464
433,N. León,2025,F3,36,0,1,17,21,0,NaN,0,20,2,1.8,0,0.05,0.1,6.049647464
434,J. Wharton,2025,F3,25,0,0,18,19,0,NaN,0,20,1,1.25,0,0,0.05,6.049647464
435,B. Benavides,2025,F3,18,1,1,19,24,0,NaN,0,20,2,0.9,0.05,0.05,0.1,6.049647464
436,I. Domingues,2025,F3,18,0,0,20,19,0,NaN,1,16,2,1.125,0,0,0.125,6.049647464
437,N. Bedrin,2025,F3,17,0,0,21,19,0,NaN,0,20,3,0.85,0,0,0.15,6.049647464
438,C. Ho,2025,F3,17,0,0,22,19,0,NaN,0,20,2,0.85,0,0,0.1,6.049647464
439,B. Del Pino,2025,F3,16,0,1,23,19,0,NaN,0,20,2,0.8,0,0.05,0.1,6.049647464
440,B. Badoer,2025,F3,13,0,0,24,19,0,NaN,0,20,1,0.65,0,0,0.05,6.049647464
441,M. Zagazeta,2025,F3,13,0,0,25,22,0,NaN,0,20,3,0.65,0,0,0.15,6.049647464
442,L. Sharp,2025,F3,11,0,0,26,18,0,NaN,0,20,2,0.55,0,0,0.1,6.049647464
443,F. Slater,2025,F3,10,0,1,27,17,0,NaN,0,20,2,0.5,0,0.05,0.1,6.049647464
444,J. Hedley,2025,F3,7,0,0,28,22,0,NaN,0,10,1,0.7,0,0,0.1,6.049647464
445,G. Xie,2025,F3,1,0,0,29,19,0,NaN,0,18,4,0.056,0,0,0.222,6.049647464
446,J. Dufek,2025,F3,0,0,0,30,21,0,NaN,0,20,5,0,0,0,0.25,6.049647464
447,N. Lacorte,2025,F3,0,0,0,31,18,0,NaN,0,10,2,0,0,0,0.2,6.049647464
448,J. Carrasquedo,2025,F3,0,0,0,32,18,0,NaN,0,6,1,0,0,0,0.167,6.049647464
449,N. Johnson,2025,F3,0,0,0,33,17,0,NaN,0,16,4,0,0,0,0.25,6.049647464
450,J. Sagrera,2025,F3,0,0,0,34,21,0,NaN,0,14,3,0,0,0,0.214,6.049647464
451,F. Barrichello,2025,F3,0,0,0,35,20,0,NaN,0,6,1,0,0,0,0.167,6.049647464
452,N. Marinangeli,2025,F3,0,0,0,36,21,0,NaN,0,4,2,0,0,0,0.5,6.049647464
453,J. Garfias,2025,F3,0,0,0,37,21,0,NaN,0,4,2,0,0,0,0.5,6.049647464
